lHand.x,lHand.y,lHand.z,lElbow.x,lElbow.y,lElbow.z,lShoulder.x,lShoulder.y,lShoulder.z, rHand.x, rHand.y, rHand.z, rElbow.x, rElbow.y, rElbow.z, rShoulder.x, rShoulder.y, rShoulder.z
-0.352990,-0.230046,1.440233,-0.293095,0.027034,1.584536,-0.234688,0.266513,1.545578,0.159643,-0.180882,1.251123,0.204832,0.051004,1.472304,0.118859,0.261561,1.482303,-0.068764,-0.035728,1.487398,
-0.350291,-0.230944,1.414981,-0.293371,0.027551,1.563694,-0.232446,0.267931,1.526895,0.151349,-0.170914,1.230495,0.205507,0.052553,1.459166,0.119969,0.261921,1.468716,-0.069640,-0.034870,1.473184,
-0.348890,-0.237295,1.392645,-0.294200,0.030024,1.543371,-0.233063,0.268941,1.512317,0.145107,-0.161168,1.216289,0.204953,0.052539,1.446846,0.120574,0.262128,1.456457,-0.071200,-0.033855,1.459392,
-0.343172,-0.241275,1.366506,-0.295865,0.032605,1.523660,-0.233705,0.271357,1.496611,0.137644,-0.168430,1.195347,0.203545,0.052586,1.436658,0.121313,0.262706,1.445609,-0.072148,-0.032711,1.446502,
-0.338375,-0.247443,1.351220,-0.297451,0.030865,1.500830,-0.233897,0.269337,1.476085,0.133050,-0.168352,1.187367,0.201636,0.052812,1.427915,0.120998,0.262975,1.433362,-0.073236,-0.033122,1.432680,
-0.336779,-0.245684,1.335524,-0.299149,0.031935,1.481191,-0.233652,0.269132,1.457011,0.131903,-0.159518,1.192385,0.198614,0.052114,1.419659,0.119967,0.262372,1.421400,-0.074283,-0.034585,1.417863,
-0.333220,-0.244808,1.316745,-0.300791,0.032275,1.461705,-0.236385,0.269664,1.441022,0.131420,-0.166449,1.189741,0.196107,0.052613,1.411295,0.118704,0.262836,1.411112,-0.075743,-0.034468,1.403994,
-0.332036,-0.244200,1.302595,-0.304120,0.032234,1.443609,-0.238574,0.268827,1.422127,0.132298,-0.181042,1.190274,0.191436,0.051900,1.402554,0.116378,0.262377,1.399752,-0.077794,-0.034182,1.391106,
-0.332377,-0.245360,1.284593,-0.306924,0.031923,1.427210,-0.241885,0.267293,1.404038,0.136245,-0.201941,1.195471,0.187672,0.051891,1.393436,0.113816,0.262329,1.389048,-0.079601,-0.034130,1.376925,
-0.332640,-0.251138,1.265680,-0.309496,0.031155,1.407463,-0.243123,0.264639,1.383006,0.141686,-0.222305,1.203901,0.183052,0.048283,1.384284,0.110027,0.262185,1.377416,-0.082499,-0.036167,1.359953,
-0.335976,-0.258664,1.248021,-0.314517,0.029176,1.387972,-0.248112,0.261925,1.365835,0.145348,-0.238963,1.212579,0.180659,0.043767,1.377763,0.105158,0.262099,1.365232,-0.085240,-0.038220,1.344205,
-0.336111,-0.258128,1.232561,-0.319376,0.026346,1.367047,-0.251627,0.261391,1.346479,0.151517,-0.249456,1.222680,0.177951,0.038970,1.371847,0.100149,0.262055,1.354015,-0.088071,-0.039892,1.327745,
-0.338458,-0.259931,1.215822,-0.324960,0.023107,1.345159,-0.255871,0.258486,1.325221,0.160124,-0.255445,1.232646,0.176003,0.037048,1.367489,0.094009,0.261772,1.341986,-0.090534,-0.041616,1.309918,
-0.341796,-0.259938,1.194142,-0.331714,0.019023,1.321160,-0.261115,0.255874,1.305630,0.168420,-0.267087,1.240725,0.172956,0.035208,1.362428,0.086687,0.260509,1.328768,-0.095251,-0.042936,1.291484,
-0.348187,-0.263148,1.179652,-0.338488,0.016561,1.296677,-0.265964,0.254196,1.283020,0.176765,-0.272538,1.248497,0.168620,0.034007,1.356836,0.079277,0.260212,1.315841,-0.100097,-0.041412,1.273502,
